model,subset,R2,MAE,RMSE,RPD
XGBoost,apple,0.3563354165737287,0.005442907293518225,0.006754584970960191,1.246436600748589
RF,apple,0.35516531563583065,0.005483619933958334,0.006760721674580295,1.2453052108810243
Ridge,apple,0.30010967110664677,0.005697791372284494,0.0070434244222167255,1.195322250369434
PLS,apple,0.256417695925123,0.005965020371277328,0.00725994591872124,1.1596728164269947
MLP,apple,-435.332790596151,0.14012449967514343,0.17586434078241026,0.04787304744790651
RF,broccoli,0.524490994067391,0.00801217296504,0.010895505994588384,1.4501757103279342
XGBoost,broccoli,0.509265674823173,0.007979583016339203,0.011068563191862328,1.4275021853514844
Ridge,broccoli,0.2713410605366109,0.008264991041970041,0.013487460298423766,1.1714880189067927
PLS,broccoli,-0.7035630995213709,0.009677314915015911,0.020622776864845982,0.7661624934718742
MLP,broccoli,-251.2937345429412,0.15886870467724884,0.2509696836986836,0.06295739753194482
Ridge,leek,0.9055735728964445,0.005648977472992097,0.007357931999557427,3.25426729337305
PLS,leek,0.8968996451197735,0.005871028089910312,0.007688454903000255,3.1143679393474497
XGBoost,leek,0.8180021005496879,0.007826070656961455,0.010215089569399512,2.3440496816348793
RF,leek,0.7645447694201732,0.008799105833576376,0.011618850470589123,2.0608473715738085
MLP,leek,-99.65949436637746,0.17754365084545692,0.2402350460087239,0.09967187490268666
Ridge,mushroom,0.8719998939272446,0.0836833181379886,0.10567010667767368,2.795083813741221
PLS,mushroom,0.7875670876731992,0.10664622464132399,0.1361312657519304,2.1696470912809795
RF,mushroom,0.7146538766809853,0.09943655207883077,0.15777310384058915,1.8720352048692441
XGBoost,mushroom,0.7135382077794934,0.09235199791422792,0.1580812398373488,1.8683861859571007
MLP,mushroom,0.05045155504880505,0.2213930580325124,0.2878097780196361,1.0262222736258906
