crop,model,bands,n,R2,MAE,RMSE,RPD
apple,PLS,141,240,0.20073635749116436,0.006149090317016049,0.0075268607047393405,1.1185488868099007
apple,Ridge,141,240,0.255929031127597,0.00595481535852531,0.007262330846971214,1.1592919463274827
apple,RF,141,240,0.34205962547706115,0.00557945382160445,0.006829078717331391,1.2328400375723507
apple,XGBoost,141,240,0.35311704874038696,0.005449558608233929,0.006771450570279731,1.2433320711830251
broccoli,PLS,141,250,0.5151904985714717,0.008109541747832523,0.01100154297046553,1.436198348317126
broccoli,Ridge,141,250,0.5227858969436818,0.008127620357368632,0.010915023447277865,1.4475825837152
broccoli,RF,141,250,0.5943192696783615,0.007286673358877499,0.010063758993222581,1.5700294347035963
broccoli,XGBoost,141,250,0.5733612775802612,0.007430690340697765,0.010320438734352986,1.5309812159950822
leek,PLS,141,288,0.5787377504656863,0.012334141615634842,0.015541225469871347,1.5407200565656014
leek,Ridge,141,288,0.6091852418153763,0.011801708435467665,0.014969057878929066,1.5996115439398666
leek,RF,141,288,0.4574171928233618,0.013259040846282408,0.017637702134837556,1.3575848827690546
leek,XGBoost,141,288,0.44040507078170776,0.013556599617004395,0.017912073391566363,1.3367898434534635
mushroom,PLS,141,250,0.7619004483848921,0.11145744038007117,0.1441206704238376,2.0493716080026916
mushroom,Ridge,141,250,0.8000758677203442,0.09810879628793984,0.13206252445413266,2.2364922320980467
mushroom,RF,141,250,0.7448307348201031,0.08518597854813684,0.14919736959328722,1.9796381859684937
mushroom,XGBoost,141,250,0.7454901933670044,0.07598192244768143,0.14900444329680398,1.9822013596238923
