held_out,model,bands,n_train,n_test,R2,RMSE,RPD,pearson_r
apple,PLS,141,788,240,-142186.29649438526,3.174674826607899,0.0026519760675631603,0.17797793890391816
apple,Ridge,141,788,240,-114854.01444628129,2.8532763081977346,0.0029506997406000676,0.23207704589680095
apple,RF,141,788,240,-866.4337029598554,0.24796306502583423,0.033953289219030326,0.059157809875979434
apple,XGBoost,141,788,240,-499.268310546875,0.1883086904734851,0.04470936334000388,0.068177230656147
broccoli,PLS,141,778,250,-17696.075982511367,2.1019326478318914,0.007517080939496482,0.0049761250421335255
broccoli,Ridge,141,778,250,-38701.69213415014,3.1084123495245395,0.0050831086955176,0.2834669587484646
broccoli,RF,141,778,250,-10.224780873805988,0.05293671333128002,0.2984771219974118,0.05206977144235524
broccoli,XGBoost,141,778,250,-9.876702308654785,0.05210947061398383,0.3032154742113686,-0.031866732984781265
leek,PLS,141,740,288,-1107.8710535579999,0.797350944861159,0.030030287089216887,-0.370933122560326
leek,Ridge,141,740,288,-370.6689217208711,0.46162265420971643,0.05187067308477633,-0.3536521356834955
leek,RF,141,740,288,-38.931207596043045,0.15130915713247178,0.15825002424721252,0.12483112319277725
leek,XGBoost,141,740,288,-18.035934448242188,0.10447107975330674,0.2291991031544885,0.1793920397758484
mushroom,PLS,141,778,250,-0.14301570344357262,0.3157716114826378,0.9353494720635003,0.33852566365134495
mushroom,Ridge,141,778,250,-0.06109494971216356,0.30424546165291994,0.9707846042741174,0.16132184270005856
mushroom,RF,141,778,250,-0.22665947137122133,0.3271214278410272,0.9028965544759789,-0.0793253305774862
mushroom,XGBoost,141,778,250,-0.2242436408996582,0.32679914360161794,0.9037869770337542,-0.07974214851856232
